sku,locale,attribute_family_code,type,categories,name,description,short_description,status,visible_individually,new,featured,guest_checkout,length,width,height,weight,tax_category_name,price,cost,special_price,special_price_from,special_price_to,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,bundle_options,associated_skus
8a464d3f-6d1d-378c-8d6b-a96880bf4f6c,en,default,simple,,"officiis laudantium dolor aliquid voluptates","ipsum aut est dolorum est eos qui vero est quis sunt ea sint perspiciatis et ipsa enim enim veritatis aut sit autem blanditiis laudantium velit sit rerum aperiam harum assumenda pariatur ut consequatur aut omnis quas aut facilis enim dolor aliquid autem sed voluptates at dignissimos dolorem sunt et recusandae","non voluptatem quaerat facilis deleniti officia et enim quis quia possimus reprehenderit repudiandae voluptatibus aut architecto accusantium ducimus magni et rerum culpa laborum sed cum",1,1,,,,,,,1.23,Clothes,14,,,,,error-architecto-quos-architecto,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
4c96be0a-8a07-353a-9f6d-d23647f299aa,en,default,simple,,"quae ut dignissimos autem laborum","asperiores quia doloribus et eligendi quo cum assumenda nemo temporibus occaecati est aut voluptatibus odit vitae provident eligendi voluptatem delectus aut temporibus aut earum ut aut aspernatur aspernatur ut qui expedita natus est dolorem provident quam consequatur ducimus corrupti corrupti quam animi doloribus numquam porro sapiente consequatur expedita adipisci optio","voluptas explicabo commodi vel rerum voluptas soluta voluptas esse natus et et ratione odit culpa adipisci odit pariatur ab quia sint aut cum impedit qui",1,1,,,,,,,1.23,Clothes,14,,,,,sint-aut-officia-hic-beatae-aut-est-consequatur-sunt,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
d27a4c13-4a2a-38f2-a0d1-8e7df3ca9b0b,en,default,simple,,"sit dicta est sed laboriosam","libero porro dolorem qui enim ipsa ex dolorem molestiae consequatur eaque aut temporibus ut et officia ad quibusdam in fuga iste temporibus aliquam excepturi consequatur amet aspernatur laborum aliquam dolorum iusto autem facere esse dolores laborum nesciunt voluptatum atque vitae aut ut sunt earum fugit quas quasi voluptatem dolor rerum","est perspiciatis consequatur sed qui vel pariatur possimus repellat saepe ut dolorum delectus voluptas aut voluptatem eos dolor velit aut odio eum ab quo est",1,1,,,,,,,1.23,Clothes,14,,,,,excepturi-natus-est-ut-vitae-dolorum,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
ce42bdf9-eabd-3af9-b0b2-9af6329b273a,en,default,simple,,"et voluptate provident molestiae rerum","aspernatur cum neque voluptas exercitationem soluta nesciunt maiores similique dicta voluptatem eum culpa non harum eaque et quae libero fugiat veritatis debitis et eos possimus consequatur sapiente voluptatem ullam non sed ratione accusantium minus totam molestiae pariatur et reiciendis maxime sit laboriosam magni facere voluptatem est repudiandae nobis asperiores a","officiis ut eos eligendi et qui aliquid occaecati et repudiandae inventore aspernatur at facilis qui delectus voluptatem laudantium dolor dolores ut laudantium dolor aliquid excepturi",1,1,,,,,,,1.23,Clothes,14,,,,,velit-quisquam-quas-necessitatibus-quia-voluptatum,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
bec4fa82-efd8-33e3-a5a3-928174936b11,en,default,simple,,"quis sed rerum nisi qui","neque nisi esse nulla ratione maiores voluptas tempora sequi voluptatem dolore repudiandae est maxime quidem quo iste omnis nam maxime veritatis cupiditate temporibus odio voluptas et at cum nesciunt eos impedit laboriosam et aspernatur in magni eius aut expedita id quae consequatur fugiat nihil voluptatibus dolore corporis eos voluptatibus porro","dolorem alias corrupti dicta et optio et ut eos eligendi voluptatibus nobis quis error odio minus consequatur praesentium autem hic sunt aliquam aut molestiae saepe",1,1,,,,,,,1.23,Clothes,14,,,,,rerum-velit-cupiditate-aut-inventore,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
dbb84b5f-27e0-3364-867a-06661e51b251,en,default,simple,,"aliquid et deleniti dolor assumenda","ad minus libero blanditiis qui aspernatur perspiciatis ratione eos itaque vitae nisi similique aliquam ipsa aspernatur quasi architecto unde dolorum iure ipsa non eius sunt fugit sapiente beatae consequuntur error maiores consequatur enim quia qui rem voluptatibus aut tempora eos voluptates nulla beatae laboriosam voluptatibus omnis eum nihil incidunt non","ex voluptate repellat eligendi ut veniam et optio hic explicabo cupiditate magni ut quia vel reiciendis similique error architecto delectus necessitatibus excepturi officiis dicta temporibus",1,1,,,,,,,1.23,Clothes,14,,,,,dicta-quasi-et-maiores,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
22b3b9d0-147b-3f34-8604-0c8a0aaefd29,en,default,simple,,"quaerat asperiores qui aliquid dolorum","error optio fugiat est suscipit vel aut error expedita quia voluptatum et qui ad ut asperiores id fugiat debitis sint quas in et in est accusantium rerum voluptatem ea deserunt eligendi quae autem est laudantium adipisci aspernatur culpa reprehenderit perspiciatis voluptatibus dolorem recusandae amet cupiditate sint aliquam omnis odit labore","tempora tempora explicabo voluptate atque veritatis ad consequuntur aliquam commodi odit sapiente pariatur fugit placeat magnam nam assumenda beatae et dicta dolor ut consequuntur amet",1,1,,,,,,,1.23,Clothes,14,,,,,aut-iure-neque-quo-cumque-rerum-numquam,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
270a1f1f-c805-3938-a0ee-2a21a5c1439a,en,default,simple,,"est id qui nobis aut","numquam iste voluptatibus debitis facilis id aperiam vero iste vel dignissimos sunt qui molestias est odio rerum beatae autem vel deleniti dolores corporis est et ipsa ipsum perferendis tenetur atque porro beatae et alias qui omnis enim voluptatem beatae tempora molestiae aut aperiam corrupti eos minus atque eum aut est","quia voluptatem at et tenetur omnis aut ut nemo reprehenderit labore labore earum iste rerum quia numquam quidem accusantium molestiae quae iusto quidem eos praesentium",1,1,,,,,,,1.23,Clothes,14,,,,,ut-error-laboriosam-vel-suscipit-culpa-velit,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
5a8f6fb2-8237-39f8-bf4f-38579035c18a,en,default,simple,,"molestiae labore doloribus pariatur asperiores","odio et ea autem enim veritatis ducimus qui blanditiis alias saepe quisquam reiciendis animi nemo eveniet corporis odit quam voluptatem aliquam minus aut qui hic et nulla repellat libero porro qui sunt necessitatibus consequuntur minus est ea dolore nulla nostrum vel consequatur voluptatem dolore quasi itaque qui pariatur tenetur occaecati","recusandae quia voluptas autem perferendis quasi delectus dicta et nulla neque modi odit aut quis ut quo fuga earum cupiditate repellendus qui autem occaecati quidem",1,1,,,,,,,1.23,Clothes,14,,,,,ut-cupiditate-nesciunt-commodi-est-ea,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
3c76a0d6-7f5d-33b1-9487-92293e35bb22,en,default,simple,,"molestiae voluptatem iusto aut quia","ut minima quia non est cum natus neque expedita excepturi est quas mollitia illo in voluptatibus pariatur molestias repudiandae est minima et eius dolorem consequuntur dolorum officia qui voluptas dolor doloremque voluptas aliquam qui saepe voluptatem doloribus accusamus dolorum sit reprehenderit rerum ratione sunt fugiat ad id quia excepturi quas","sequi quia omnis ea labore et consequuntur veritatis quos possimus dolores officiis odio aliquid dicta ut mollitia similique alias et ut voluptatum repudiandae ab adipisci",1,1,,,,,,,1.23,Clothes,14,,,,,voluptatibus-placeat-dolorem-nulla-eligendi-ut-unde-magni,"Meta Title","meta1, meta2, meta3","meta description",1,default=100,,,,,
